scenario,cpu,baseline,optimized,n_baseline,n_optimized,U,p_value,p_value_holm,PS_prob_opt_lt_base,cliffs_delta
content,2.0,B0,I1,15,15,97.5,0.1641432724434212,1.0,0.5666666666666667,0.1333333333333333
content,2.0,B0,I2,15,15,144.5,0.09110794261107336,0.7288635408885868,0.35777777777777775,-0.2844444444444445
content,2.0,B0,I2+I3,15,15,136.0,0.1950088398892209,1.0,0.39555555555555555,-0.2088888888888889
content,2.0,B0,I2+I3+I4,15,15,105.0,0.5765292630924668,1.0,0.5333333333333333,0.06666666666666665
content,2.0,B0,I2+I4,15,15,105.0,0.5765292630924668,1.0,0.5333333333333333,0.06666666666666665
content,2.0,B0,I3,15,15,105.0,0.5765292630924668,1.0,0.5333333333333333,0.06666666666666665
content,2.0,B0,I3+I4,15,15,121.0,0.6083640292608974,1.0,0.4622222222222222,-0.0755555555555556
content,2.0,B0,I4,15,15,112.5,1.0,1.0,0.5,0.0
content,4.0,B0,I1,15,15,134.0,0.09426430684121027,0.1964381567888182,0.4044444444444445,-0.191111111111111
content,4.0,B0,I2,15,15,58.5,0.013729244887818725,0.06864622443909363,0.74,0.48
content,4.0,B0,I2+I3,15,15,29.5,0.00010062192211963682,0.000603731532717821,0.8688888888888888,0.7377777777777776
content,4.0,B0,I2+I3+I4,15,15,15.0,3.4303941351264457e-06,2.7443153081011566e-05,0.9333333333333333,0.8666666666666667
content,4.0,B0,I2+I4,15,15,22.5,1.7568023070433122e-05,0.00012297616149303185,0.9,0.8
content,4.0,B0,I3,15,15,105.0,0.5765292630924668,0.5765292630924668,0.5333333333333333,0.06666666666666665
content,4.0,B0,I3+I4,15,15,141.0,0.04910953919720455,0.1964381567888182,0.3733333333333333,-0.2533333333333334
content,4.0,B0,I4,15,15,141.0,0.04910953919720455,0.1964381567888182,0.3733333333333333,-0.2533333333333334
content,6.0,B0,I1,15,15,102.5,0.6501603643992435,1.0,0.5444444444444445,0.08888888888888902
content,6.0,B0,I2,15,15,42.5,0.0019957552449688092,0.009978776224844046,0.8111111111111111,0.6222222222222222
content,6.0,B0,I2+I3,15,15,32.5,0.0004427437160543312,0.0026564622963259872,0.8555555555555556,0.7111111111111112
content,6.0,B0,I2+I3+I4,15,15,10.0,7.104793699135189e-06,5.6838349593081514e-05,0.9555555555555556,0.9111111111111112
content,6.0,B0,I2+I4,15,15,15.0,1.9512187771598555e-05,0.0001365853144011899,0.9333333333333333,0.8666666666666667
content,6.0,B0,I3,15,15,112.5,1.0,1.0,0.5,0.0
content,6.0,B0,I3+I4,15,15,125.0,0.5453496680111236,1.0,0.4444444444444444,-0.11111111111111116
content,6.0,B0,I4,15,15,125.0,0.5453496680111236,1.0,0.4444444444444444,-0.11111111111111116
content,8.0,B0,I1,15,15,120.0,0.7352910758891144,0.8236219370240482,0.4666666666666667,-0.06666666666666665
content,8.0,B0,I2,15,15,0.0,1.6076794450876448e-06,1.130305781447911e-05,1.0,1.0
content,8.0,B0,I2+I3,15,15,3.5,2.8329812339690525e-06,1.6997887403814314e-05,0.9844444444444445,0.9688888888888889
content,8.0,B0,I2+I3+I4,15,15,0.0,1.4128822268098888e-06,1.130305781447911e-05,1.0,1.0
content,8.0,B0,I2+I4,15,15,3.5,3.1169444748622807e-06,1.6997887403814314e-05,0.9844444444444445,0.9688888888888889
content,8.0,B0,I3,15,15,146.5,0.09906039608063598,0.3962415843225439,0.3488888888888889,-0.30222222222222217
content,8.0,B0,I3+I4,15,15,135.0,0.2745406456746827,0.8236219370240482,0.4,-0.19999999999999996
content,8.0,B0,I4,15,15,135.0,0.2745406456746827,0.8236219370240482,0.4,-0.19999999999999996
dashboard,2.0,B0,I1,15,15,100.5,0.5854670972728576,1.0,0.5533333333333333,0.10666666666666669
dashboard,2.0,B0,I2,15,15,27.5,0.0001783178984222295,0.0012482252889556066,0.8777777777777778,0.7555555555555555
dashboard,2.0,B0,I2+I3,15,15,36.5,0.0008409088512963324,0.005045453107777994,0.8377777777777777,0.6755555555555555
dashboard,2.0,B0,I2+I3+I4,15,15,18.5,2.5637287019485997e-05,0.00020509829615588797,0.9177777777777778,0.8355555555555556
dashboard,2.0,B0,I2+I4,15,15,14.0,7.974966323868873e-06,7.177469691481986e-05,0.9377777777777778,0.8755555555555556
dashboard,2.0,B0,I3,15,15,89.5,0.2874549966290746,0.8623649898872238,0.6022222222222222,0.20444444444444443
dashboard,2.0,B0,I3+I4,15,15,73.5,0.05526895616762787,0.22107582467051148,0.6733333333333333,0.3466666666666667
dashboard,2.0,B0,I4,15,15,106.0,0.7839925082421018,1.0,0.528888888888889,0.05777777777777793
dashboard,2.0,B0,I5,15,15,48.5,0.004866251254878697,0.024331256274393486,0.7844444444444445,0.568888888888889
dashboard,4.0,B0,I1,15,15,112.5,1.0,1.0,0.5,0.0
dashboard,4.0,B0,I2,15,15,0.0,1.4543658727033663e-06,1.0180561108923564e-05,1.0,1.0
dashboard,4.0,B0,I2+I3,15,15,0.0,1.0433978068653944e-06,9.39058026178855e-06,1.0,1.0
dashboard,4.0,B0,I2+I3+I4,15,15,0.0,1.4543658727033663e-06,1.0180561108923564e-05,1.0,1.0
dashboard,4.0,B0,I2+I4,15,15,0.0,1.2604365163337464e-06,1.0083492130669971e-05,1.0,1.0
dashboard,4.0,B0,I3,15,15,149.0,0.1024064652607164,0.512032326303582,0.33777777777777773,-0.32444444444444454
dashboard,4.0,B0,I3+I4,15,15,127.0,0.5146629101511775,1.0,0.4355555555555556,-0.12888888888888883
dashboard,4.0,B0,I4,15,15,116.0,0.8870686942118248,1.0,0.48444444444444446,-0.03111111111111109
dashboard,4.0,B0,I5,15,15,142.0,0.17710225260841028,0.7084090104336411,0.36888888888888893,-0.26222222222222213
dashboard,6.0,B0,I1,15,15,91.0,0.3274930616451316,0.3931024000045602,0.5955555555555556,0.19111111111111123
dashboard,6.0,B0,I2,15,15,0.0,8.453097718896221e-07,6.762478175116977e-06,1.0,1.0
dashboard,6.0,B0,I2+I3,15,15,0.0,1.0723261484730265e-06,7.506283039311185e-06,1.0,1.0
dashboard,6.0,B0,I2+I3+I4,15,15,0.0,6.306180431052893e-07,5.675562387947604e-06,1.0,1.0
dashboard,6.0,B0,I2+I4,15,15,0.0,1.492568369402013e-06,8.95541021641208e-06,1.0,1.0
dashboard,6.0,B0,I3,15,15,71.5,0.04403604933133382,0.13210814799400147,0.6822222222222223,0.36444444444444457
dashboard,6.0,B0,I3+I4,15,15,62.5,0.028708647685826445,0.11483459074330578,0.7222222222222222,0.4444444444444444
dashboard,6.0,B0,I4,15,15,87.0,0.1965512000022801,0.3931024000045602,0.6133333333333333,0.22666666666666657
dashboard,6.0,B0,I5,15,15,22.5,6.22954890180633e-05,0.00031147744509031654,0.9,0.8
dashboard,8.0,B0,I1,15,15,127.5,0.4380798923905834,0.7604134724125959,0.43333333333333335,-0.1333333333333333
dashboard,8.0,B0,I2,15,15,0.0,6.26475765911157e-07,5.638281893200412e-06,1.0,1.0
dashboard,8.0,B0,I2+I3,15,15,0.0,8.216463559971207e-07,5.638281893200412e-06,1.0,1.0
dashboard,8.0,B0,I2+I3+I4,15,15,0.0,6.26475765911157e-07,5.638281893200412e-06,1.0,1.0
dashboard,8.0,B0,I2+I4,15,15,0.0,7.348642440700734e-07,5.638281893200412e-06,1.0,1.0
dashboard,8.0,B0,I3,15,15,149.0,0.063886395550746,0.31943197775373,0.33777777777777773,-0.32444444444444454
dashboard,8.0,B0,I3+I4,15,15,132.5,0.27189871081964834,0.7604134724125959,0.4111111111111111,-0.1777777777777778
dashboard,8.0,B0,I4,15,15,91.5,0.19010336810314898,0.7604134724125959,0.5933333333333333,0.18666666666666654
dashboard,8.0,B0,I5,15,15,91.5,0.19010336810314898,0.7604134724125959,0.5933333333333333,0.18666666666666654
form,2.0,B0,I1,15,15,131.5,0.43783851115362704,0.8756770223072541,0.41555555555555557,-0.16888888888888887
form,2.0,B0,I2,15,15,0.0,1.7742761539331653e-06,1.2419933077532158e-05,1.0,1.0
form,2.0,B0,I2+I3,15,15,0.0,2.2699688504676886e-06,1.2419933077532158e-05,1.0,1.0
form,2.0,B0,I2+I3+I4,15,15,0.0,1.4968644513584297e-06,1.1974915610867438e-05,1.0,1.0
form,2.0,B0,I2+I4,15,15,0.0,2.0094202775774287e-06,1.2419933077532158e-05,1.0,1.0
form,2.0,B0,I3,15,15,158.5,0.057520707282700284,0.23008282913080114,0.29555555555555557,-0.40888888888888886
form,2.0,B0,I3+I4,15,15,130.0,0.4729478732707173,0.8756770223072541,0.4222222222222223,-0.15555555555555545
form,2.0,B0,I4,15,15,143.0,0.2092736595418072,0.6278209786254216,0.36444444444444446,-0.2711111111111111
form,4.0,B0,I1,15,15,36.0,0.0015056876706023912,0.006022750682409565,0.84,0.6799999999999999
form,4.0,B0,I2,15,15,0.0,2.081990361405539e-06,1.1038291169726425e-05,1.0,1.0
form,4.0,B0,I2+I3,15,15,0.0,1.2493054486754068e-06,9.994443589403255e-06,1.0,1.0
form,4.0,B0,I2+I3+I4,15,15,0.0,1.5536619322938904e-06,1.0875633526057234e-05,1.0,1.0
form,4.0,B0,I2+I4,15,15,0.0,1.8397151949544041e-06,1.1038291169726425e-05,1.0,1.0
form,4.0,B0,I3,15,15,107.5,0.8515909757890054,0.8515909757890054,0.5222222222222221,0.04444444444444429
form,4.0,B0,I3+I4,15,15,59.5,0.028788446248626618,0.057576892497253236,0.7355555555555555,0.47111111111111104
form,4.0,B0,I4,15,15,55.0,0.017785348169156345,0.05335604450746903,0.7555555555555555,0.5111111111111111
form,6.0,B0,I1,15,15,224.0,3.686331506818694e-06,1.4745326027274776e-05,0.004444444444444473,-0.991111111111111
form,6.0,B0,I2,15,15,0.0,2.0594324092866566e-06,1.4416026865006597e-05,1.0,1.0
form,6.0,B0,I2+I3,15,15,0.0,2.1162127393517795e-06,1.4416026865006597e-05,1.0,1.0
form,6.0,B0,I2+I3+I4,15,15,0.0,2.0594324092866566e-06,1.4416026865006597e-05,1.0,1.0
form,6.0,B0,I2+I4,15,15,0.0,9.399646163654631e-07,7.519716930923705e-06,1.0,1.0
form,6.0,B0,I3,15,15,172.5,0.013205989020160588,0.035281511590885946,0.23333333333333328,-0.5333333333333334
form,6.0,B0,I3+I4,15,15,173.5,0.011760503863628648,0.035281511590885946,0.22888888888888892,-0.5422222222222222
form,6.0,B0,I4,15,15,89.0,0.33227469002966026,0.33227469002966026,0.6044444444444445,0.2088888888888889
form,8.0,B0,I1,15,15,89.5,0.349882312369161,1.0,0.6022222222222222,0.20444444444444443
form,8.0,B0,I2,15,15,0.0,2.4072202948232137e-06,1.7917604017835695e-05,1.0,1.0
form,8.0,B0,I2+I3,15,15,0.0,2.394464806953806e-06,1.7917604017835695e-05,1.0,1.0
form,8.0,B0,I2+I3+I4,15,15,0.0,2.239700502229462e-06,1.7917604017835695e-05,1.0,1.0
form,8.0,B0,I2+I4,15,15,0.0,2.6466495836129666e-06,1.7917604017835695e-05,1.0,1.0
form,8.0,B0,I3,15,15,43.0,0.00418883329028174,0.01675533316112696,0.8088888888888889,0.6177777777777778
form,8.0,B0,I3+I4,15,15,101.5,0.6616632869021917,1.0,0.5488888888888889,0.09777777777777774
form,8.0,B0,I4,15,15,110.0,0.9334567029087102,1.0,0.5111111111111111,0.022222222222222143
